time,position
0,0
0.1,904
0.2,1805
0.3,2698
0.4,3581
0.5,4450
0.6,5301
0.7,6131
0.8,6937
0.9,7716
1,8464
1.1,9179
1.2,9857
1.3,10497
1.4,11095
1.5,11650
1.6,12158
1.7,12619
1.8,13030
1.9,13389
2,13695
2.1,13948
2.2,14145
2.3,14286
2.4,14372
2.5,14400
2.6,14372
2.7,14286
2.8,14145
2.9,13948
3,13695
3.1,13389
3.2,13030
3.3,12619
3.4,12158
3.5,11650
3.6,11095
3.7,10497
3.8,9857
3.9,9179
4,8464
4.1,7716
4.2,6937
4.3,6131
4.4,5301
4.5,4450
4.6,3581
4.7,2698
4.8,1805
4.9,904
5,0
5.1,-904
5.2,-1805
5.3,-2698
5.4,-3581
5.5,-4450
5.6,-5301
5.7,-6131
5.8,-6937
5.9,-7716
6,-8464
6.1,-9179
6.2,-9857
6.3,-10497
6.4,-11095
6.5,-11650
6.6,-12158
6.7,-12619
6.8,-13030
6.9,-13389
7,-13695
7.1,-13948
7.2,-14145
7.3,-14286
7.4,-14372
7.5,-14400
7.6,-14372
7.7,-14286
7.8,-14145
7.9,-13948
8,-13695
8.1,-13389
8.2,-13030
8.3,-12619
8.4,-12158
8.5,-11650
8.6,-11095
8.7,-10497
8.8,-9857
8.9,-9179
9,-8464
9.1,-7716
9.2,-6937
9.3,-6131
9.4,-5301
9.5,-4450
9.6,-3581
9.7,-2698
9.8,-1805
9.9,-904
10,-0
10.1,904
10.2,1805
10.3,2698
10.4,3581
10.5,4450
10.6,5301
10.7,6131
10.8,6937
10.9,7716
11,8464
11.1,9179
11.2,9857
11.3,10497
11.4,11095
11.5,11650
11.6,12158
11.7,12619
11.8,13030
11.9,13389
12,13695
12.1,13948
12.2,14145
12.3,14286
12.4,14372
12.5,14400
12.6,14372
12.7,14286
12.8,14145
12.9,13948
13,13695
13.1,13389
13.2,13030
13.3,12619
13.4,12158
13.5,11650
13.6,11095
13.7,10497
13.8,9857
13.9,9179
14,8464
14.1,7716
14.2,6937
14.3,6131
14.4,5301
14.5,4450
14.6,3581
14.7,2698
14.8,1805
14.9,904
15,0
15.1,-904
15.2,-1805
15.3,-2698
15.4,-3581
15.5,-4450
15.6,-5301
15.7,-6131
15.8,-6937
15.9,-7716
16,-8464
16.1,-9179
16.2,-9857
16.3,-10497
16.4,-11095
16.5,-11650
16.6,-12158
16.7,-12619
16.8,-13030
16.9,-13389
17,-13695
17.1,-13948
17.2,-14145
17.3,-14286
17.4,-14372
17.5,-14400
17.6,-14372
17.7,-14286
17.8,-14145
17.9,-13948
18,-13695
18.1,-13389
18.2,-13030
18.3,-12619
18.4,-12158
18.5,-11650
18.6,-11095
18.7,-10497
18.8,-9857
18.9,-9179
19,-8464
19.1,-7716
19.2,-6937
19.3,-6131
19.4,-5301
19.5,-4450
19.6,-3581
19.7,-2698
19.8,-1805
19.9,-904
20,-0
20.1,904
20.2,1805
20.3,2698
20.4,3581
20.5,4450
20.6,5301
20.7,6131
20.8,6937
